date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
2012-02-02,,Boca Juniors,Ramón Santamarina,1,1,4,3,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-02,,Rosario Central,Guillermo Brown,1,0,,,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-07,,Argentinos Juniors,Racing (O),3,0,,,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-07,,Lanús,Barracas Central,0,0,7,8,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-10,21:15,Boca Juniors,Olimpo,2,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-10,21:15,Lanús,San Lorenzo,4,1,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-11,19:10,Belgrano,All Boys,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Gigante de Alberdi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-11,19:10,Estudiantes (LP),Newell's Old Boys,1,1,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-11,21:15,San Martín (SJ),Independiente,1,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-12,17:00,Atlético de Rafaela,Banfield,3,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Nuevo Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-12,19:10,Racing Club,Tigre,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-12,19:10,Vélez Sarsfield,Godoy Cruz,1,1,,,Primera Division - Clausura,2012,zonas,,Fecha 1,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-12,22:10,Argentinos Juniors,Unión,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-13,22:10,Colón,Arsenal,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 1,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-17,19:00,Olimpo,Belgrano,4,1,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-17,21:15,Banfield,Vélez Sarsfield,0,4,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-18,17:00,Newell's Old Boys,Argentinos Juniors,1,0,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-18,19:10,Arsenal,Atlético de Rafaela,2,2,,,Primera Division - Clausura,2012,zonas,,Fecha 2,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-18,21:10,All Boys,Colón,2,0,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-19,17:00,Independiente,Lanús,0,1,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-19,17:00,San Lorenzo,Estudiantes (LP),1,1,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-19,19:10,Godoy Cruz,Racing Club,1,0,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-19,19:10,Unión,Boca Juniors,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 2,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-20,21:15,Tigre,San Martín (SJ),3,1,,,Primera Division - Clausura,2012,zonas,,Fecha 2,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-24,19:10,Belgrano,Unión,1,0,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Gigante de Alberdi,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-24,21:15,Atlético de Rafaela,All Boys,0,1,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Nuevo Monumental,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-25,19:10,Colón,Olimpo,3,1,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Brigadier Estanislao López,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-25,19:10,Estudiantes (LP),Independiente,2,0,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Ciudad de La Plata,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-25,21:10,Argentinos Juniors,San Lorenzo,0,1,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Diego Armando Maradona,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-26,17:00,Godoy Cruz,Tigre,0,2,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Malvinas Argentinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-26,17:00,Racing Club,Banfield,1,2,,,Primera Division - Clausura,2012,zonas,,Fecha 3,El Cilindro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-26,19:10,Boca Juniors,Newell's Old Boys,2,0,,,Primera Division - Clausura,2012,zonas,,Fecha 3,La Bombonera,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-26,19:10,Vélez Sarsfield,Arsenal,3,2,,,Primera Division - Clausura,2012,zonas,,Fecha 3,José Amalfitani,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-27,21:15,Lanús,San Martín (SJ),1,3,,,Primera Division - Clausura,2012,zonas,,Fecha 3,Ciudad de Lanús,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-02-29,,Arsenal,General Lamadrid,2,1,,,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-29,,Central Córdoba (R),Boca Juniors,0,2,,,Copa Argentina,2012,eliminacion,,Dieciseisavos,San Juan del Bicentenario,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-02-29,,Vélez Sarsfield,Racing (T),2,0,,,Copa Argentina,2012,eliminacion,,Treintaidosavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-03-02,19:10,Newell's Old Boys,Belgrano,0,2,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Marcelo Bielsa,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-02,21:30,Banfield,Godoy Cruz,1,1,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Florencio Sola,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-03,17:00,All Boys,Vélez Sarsfield,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Islas Malvinas,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-03,19:10,Independiente,Argentinos Juniors,1,3,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Libertadores de América,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-03,21:10,San Martín (SJ),Estudiantes (LP),0,1,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Ingeniero Hilario Sánchez,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-04,17:00,San Lorenzo,Boca Juniors,0,2,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Nuevo Gasómetro,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-04,17:00,Unión,Colón,2,2,,,Primera Division - Clausura,2012,zonas,,Fecha 4,15 de abril,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-04,19:10,Arsenal,Racing Club,0,0,,,Primera Division - Clausura,2012,zonas,,Fecha 4,El Viaducto,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-04,19:10,Tigre,Lanús,1,0,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Monumental de Victoria,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-05,21:15,Olimpo,Atlético de Rafaela,2,1,,,Primera Division - Clausura,2012,zonas,,Fecha 4,Roberto N. Carminatti,false,https://es.wikipedia.org/wiki/Anexo:Torneo_Clausura_2012_(Argentina),
2012-03-06,,Sportivo Belgrano,River Plate,0,2,,,Copa Argentina,2012,eliminacion,,Dieciseisavos,Bicentenario Ciudad de Catamarca,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
2012-03-07,,Belgrano,Independiente,2,0,,,Copa Argentina,2012,eliminacion,,Dieciseisavos,Padre Ernesto Martearena,true,https://es.wikipedia.org/wiki/Copa_Argentina_2011-12,
