date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source
2017-04-25,,Rosario Central,Cañuelas,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,15 de abril,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-05-03,,Banfield,Chaco For Ever,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Centenario Ciudad de Quilmes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-05-23,,Talleres (C),Defensores de Belgrano,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Nuevo Monumental,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-05-24,,Defensa y Justicia,Sol de Mayo (V),3,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Florencio Sola,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-05-25,,Vélez Sarsfield,Leandro N. Alem,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Antonio Romero,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-01,,Patronato,Deportivo Morón,0,2,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Florencio Sola,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-07,,Atlético de Rafaela,Almagro,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Julio Humberto Grondona,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-07,,Colón,Independiente Rivadavia,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Centenario Ciudad de Quilmes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-07,,Sarmiento (J),Brown de Adrogué,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Ciudad de Caseros,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-08,,Lanús,Sportivo Barracas,5,1,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Antonio Romero,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
2017-06-08,,Olimpo,Ferro Carril Oeste,1,0,,,Copa Argentina,2017,eliminacion,,Treintaidosavos,Centenario Ciudad de Quilmes,true,https://es.wikipedia.org/wiki/Copa_Argentina_2016-17
