date,time,home_team,away_team,home_score,away_score,home_pens,away_pens,tournament,season,phase,group,matchday,venue,neutral,source,status
,,Aldosivi,Juventud Unida Universitario,5,2,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Quarterfinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Aldosivi,Luján de Cuyo,0,1,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Quarterfinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Aldosivi,Luján de Cuyo,3,1,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Semifinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Aldosivi,Unión (S),3,0,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Final,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Candelaria,Desamparados,2,2,,,Torneo Argentino A,2004,eliminacion,,Zona Reválida - Semifinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Candelaria,Luján de Cuyo,1,0,,,Torneo Argentino A,2004,eliminacion,,Zona Reválida - Final,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Candelaria,Talleres (C),0,0,,,Torneo Argentino A,2004,eliminacion,,Zona Reválida - Round 2,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Tucumán,Ben Hur,2,2,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Semifinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Tucumán,Douglas Haig,4,0,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Quarterfinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Tucumán,Douglas Haig,3,0,,,Torneo Argentino A,2004,eliminacion,,Zona Campeonato - Quarterfinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Tucumán,Gimnasia y Tiro (S),4,2,,,Torneo Argentino A,2004,zonas,Zona Norte,Fecha 10,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05,
,,Atlético Tucumán,La Florida,2,0,,,Torneo Argentino A,2004,zonas,Zona Norte,Fecha 1,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05,
,,Atlético Tucumán,Luján de Cuyo,0,0,,,Torneo Argentino A,2004,eliminacion,,Zona Reválida - Semifinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
,,Atlético Tucumán,Luján de Cuyo,2,2,2,4,Torneo Argentino A,2004,eliminacion,,Zona Reválida - Semifinals,,false,https://es.wikipedia.org/wiki/Torneo_Argentino_A_2004-05 + https://www.rsssf.org/,
